"block","plotID","plotName","tree_species_richness","mycorrhizal_type","composition","trapID","contaminants","trap_condition","month","div","blk","myc","sr","sr_myc","month1","species","dryweight","dryweight_corr"
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","C",0.173,"ok","2023-06",2,1,"AM + EM",2,"2_AM + EM","June","Tilia.platyphyllos",0,0
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Acer.pseudoplatanus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Aesculus.hippocastanum",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Betula.pendula",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Carpinus.betulus",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Fagus.sylvatica",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Fraxinus.excelsior",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Prunus.avium",4.17,8.34
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Quercus.petraea",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Sorbus.aucuparia",NA,NA
1,1,"1.AE2",2,"AMF+EMF","Pr|Ti","A",NA,"ok","2023-07",2,1,"AM + EM",2,"2_AM + EM","July","Tilia.platyphyllos",2.63,5.26
